Tag señal,Origen,Locación,Lazo,Lazo típico,Servicio,Descripción,P&ID,Inf,Sup,Set Al,Un Ing,Tipo de I/O,Tipo de señal,destino,Controlador,HMI,Interbloqueos,Log de eventos,Tendencia,Histórico,Notas
PALL-006,PIT-006,FLD,P-006,Sup_Analoga,AGUA RESIDUAL A SUCCION BOM-002,ALARMA MUY BAJA PRESION,A2-2007-HD020,,,,,S,,NA,NA,NA,I-03,SI,NO,NO,
PI-007,PIT-007,FLD,P-007,Sup_Analoga,AGUA RESIDUAL A SUCCION BOM-003,INDICACION DE PRESION,A2-2007-HD020,,,,,AI,4-20 mA,JBI-001,PLC-001,EST-001,,NO,SI,SI,
PALL-007,PIT-007,FLD,P-007,Sup_Analoga,AGUA RESIDUAL A SUCCION BOM-003,ALARMA MUY BAJA PRESION,A2-2007-HD020,,,,,S,,NA,NA,NA,I-04,SI,NO,NO,
PI-008,PIT-008,FLD,P-008,Sup_Analoga,AGUA RESIDUAL A SUCCION BOM-004,INDICACION DE PRESION,A2-2007-HD020,,,,,AI,4-20 mA,JBI-001,PLC-001,EST-001,,NO,SI,SI,
PALL-008,PIT-008,FLD,P-008,Sup_Analoga,AGUA RESIDUAL A SUCCION BOM-004,ALARMA MUY BAJA PRESION,A2-2007-HD020,,,,,S,,NA,NA,NA,I-05,SI,NO,NO,
PI-009,PIT-009,FLD,P-009,Sup_Analoga,AGUA RESIDUAL DESCARGA BOM-001,INDICACION DE PRESION,A2-2007-HD020,,,,,AI,4-20 mA,JBI-001,PLC-001,EST-001,,NO,SI,SI,
PAHH-009,PIT-009,FLD,P-009,Sup_Analoga,AGUA RESIDUAL DESCARGA BOM-001,ALARMA MUY ALTA PRESION,A2-2007-HD020,,,,,S,,NA,NA,NA,I-02,SI,NO,NO,
PI-010,PIT-010,FLD,P-010,Sup_Analoga,AGUA RESIDUAL DESCARGA BOM-002,INDICACION DE PRESION,A2-2007-HD020,,,,,AI,4-20 mA,JBI-001,PLC-001,EST-001,,NO,SI,SI,
PAHH-010,PIT-010,FLD,P-010,Sup_Analoga,AGUA RESIDUAL DESCARGA BOM-002,ALARMA MUY ALTA PRESION,A2-2007-HD020,,,,,S,,NA,NA,NA,I-03,SI,NO,NO,
PI-011,PIT-011,FLD,P-011,Sup_Analoga,AGUA RESIDUAL DESCARGA BOM-003,INDICACION DE PRESION,A2-2007-HD020,,,,,AI,4-20 mA,JBI-001,PLC-001,EST-001,,NO,SI,SI,
PAHH-011,PIT-011,FLD,P-011,Sup_Analoga,AGUA RESIDUAL DESCARGA BOM-003,ALARMA MUY ALTA PRESION,A2-2007-HD020,,,,,S,,NA,NA,NA,I-04,SI,NO,NO,
PI-012,PIT-012,FLD,P-012,Sup_Analoga,AGUA RESIDUAL DESCARGA BOM-004,INDICACION DE PRESION,A2-2007-HD020,,,,,AI,4-20 mA,JBI-001,PLC-001,EST-001,,NO,SI,SI,
PAHH-012,PIT-012,FLD,P-012,Sup_Analoga,AGUA RESIDUAL DESCARGA BOM-004,ALARMA MUY ALTA PRESION,A2-2007-HD020,,,,,S,,NA,NA,NA,I-05,SI,NO,NO,
PI-014,PIT-014,FLD,P-014,Sup_Analoga,GRASAS DESCARGA BOM-008,INDICACION DE PRESION,A2-2007-HD021,HOLD,HOLD,,HOLD,AI,4-20 mA,JBI-004,PLC-001,EST-001,,NO,SI,SI,
PAHH-014,PIT-014,FLD,P-014,Sup_Analoga,GRASAS DESCARGA BOM-008,ALARMA MUY ALTA PRESION,A2-2007-HD021,,,HOLD,HOLD,S,,NA,NA,NA,I-09,SI,NO,NO,
PI-015,PIT-015,FLD,P-015,Sup_Analoga,GRASAS DESCARGA BOM-009,INDICACION DE PRESION,A2-2007-HD021,HOLD,HOLD,,HOLD,AI,4-20 mA,JBI-004,PLC-001,EST-001,,NO,SI,SI,
PAHH-015,PIT-015,FLD,P-015,Sup_Analoga,GRASAS DESCARGA BOM-009,ALARMA MUY ALTA PRESION,A2-2007-HD021,,,HOLD,HOLD,S,,NA,NA,NA,I-10,SI,NO,NO,
PI-016,PIT-016,FLD,P-016,Sup_Analoga,LODOS SED PRIMARIOS HACIA SUCCION BOM-012,INDICACION DE PRESION,A2-2007-HD021,HOLD,HOLD,,HOLD,AI,4-20 mA,JBI-004,PLC-001,EST-001,,NO,SI,SI,
PALL-016,PIT-016,FLD,P-016,Sup_Analoga,LODOS SED PRIMARIOS HACIA SUCCION BOM-012,ALARMA MUY BAJA PRESION,A2-2007-HD021,,,HOLD,HOLD,S,,NA,NA,NA,I-13,SI,NO,NO,
PI-017,PIT-017,FLD,P-017,Sup_Analoga,LODOS SED PRIMARIOS HACIA SUCCION BOM-011,INDICACION DE PRESION,A2-2007-HD021,HOLD,HOLD,,HOLD,AI,4-20 mA,JBI-004,PLC-001,EST-001,,NO,SI,SI,
PALL-017,PIT-017,FLD,P-017,Sup_Analoga,LODOS SED PRIMARIOS HACIA SUCCION BOM-011,ALARMA MUY BAJA PRESION,A2-2007-HD021,,,HOLD,HOLD,S,,NA,NA,NA,I-12,SI,NO,NO,
